app_id,app_data_safety,app_privacy_policy
1,"{""data_shared"": [{""category"": ""Device or other IDs"", ""sub_info"": [{""data_type"": ""Device or other IDs"", ""purpose"": ""Analytics"", ""optional"": false}]}], ""data_collected"": [{""category"": ""Device or other IDs"", ""sub_info"": [{""data_type"": ""Device or other IDs"", ""purpose"": ""Analytics"", ""optional"": false}]}, {""category"": ""App info and performance"", ""sub_info"": [{""data_type"": ""Crash logs"", ""purpose"": ""Analytics"", ""optional"": false}, {""data_type"": ""Diagnostics"", ""purpose"": ""Analytics"", ""optional"": false}]}, {""category"": ""App activity"", ""sub_info"": [{""data_type"": ""App interactions"", ""purpose"": ""Analytics - Personalization"", ""optional"": false}, {""data_type"": ""Other user-generated content"", ""purpose"": ""Analytics - Personalization"", ""optional"": false}]}], ""security_practices"": [{""category"": ""Data is encrypted in transit"", ""sub_info"": []}, {""category"": ""Data can\u2019t be deleted"", ""sub_info"": []}, {""category"": ""Committed to follow the Play Families Policy"", ""sub_info"": []}]}","{""data_shared"": ""When using our services some information may be processed by third parties: photos may be processed by image processing services, statistical information may be collected by our service providers and technical information may be collected for improving the service."",
  ""data_collected"": ""We collect some raw information which may be considered as personally identifiable, which is technical information about your device, such as your IP address, your operating system and other technical information. Moreover, when you register, we may retain the information you provided us at registration, including your name, photo and email address. If you use one of our server side services, we may also retain a copy of the data submitted to our server for a limited time."",
  ""security_practices"": ""We provide the service on an 'as-is' and 'as-available' basis. Your use of the service is at your own risk and under your liability. We make no warranty that (i) the service will meet your requirements and (ii) the service will be uninterrupted, timely, secure, or error-free and (iii) the results that may be obtained from the use of the service will be accurate or reliable and (iv) the quality of any products, services, information, or other material purchased or obtained by You through the Service will meet your expectations, or (v) any errors in the Service will be corrected.""}"
2,"{""data_shared"": [{""category"": ""Device or other IDs"", ""sub_info"": [{""data_type"": ""Device or other IDs"", ""purpose"": ""Advertising or marketing"", ""optional"": false}]}, {""category"": ""Location"", ""sub_info"": [{""data_type"": ""Approximate location"", ""purpose"": ""Advertising or marketing"", ""optional"": false}]}], ""data_collected"": ""No data collected"", ""security_practices"": [{""category"": ""Data isn\u2019t encrypted"", ""sub_info"": []}, {""category"": ""Data can\u2019t be deleted"", ""sub_info"": []}, {""category"": ""Committed to follow the Play Families Policy"", ""sub_info"": []}]}","{""data_shared"" : ""We will share your information with third parties only in the ways that are described in this privacy statement. We may disclose Automatically Collected Information: – as required by law, such as to comply with a subpoena, or similar legal process; – when we believe in good faith that disclosure is necessary to protect our rights, protect your safety or the safety of others, investigate fraud, or respond to a government request; – with our trusted services providers who work on our behalf, do not have an independent use of the information we disclose to them, and have agreed to adhere to the rules set forth in this privacy statement. – if Sweefit Studios is involved in a merger, acquisition, or sale of all or a portion of its assets, the new owner and/or partner will have access to all the information collected provided that the mentioned policies and principles of the privacy policy are followed and respected as stated above. – to advertisers and third party advertising networks and analytics companies as described in the section below"", ""data_collected"": ""We do not collect any user provided information, but we may collect certain information automatically, including, but not limited to, the type of mobile device you use, your mobile devices unique device ID, the IP address of your mobile device, your mobile operating system, the type of mobile Internet browsers you use, and information about the way you use the apps and games"", ""security_practices"" : ""To protect the anonymity of this information, we use an encryption technology to help ensure that these third parties can’t identify you personally.""}"
